price,type,address,url,added_on,search_datetime,postcode,number_bedrooms
260000.0,2 bed property for sale,"152 Watford Road, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/58254656/,2021-11-01,"05:36PM on November 14, 2021",HA0,2.0
450000.0,3 bed end terrace house for sale,"Blackford Road, Watford, Watford, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60083530/,2021-10-30,"05:30PM on November 28, 2021",WD19,3.0
475000.0,3 bed terraced house for sale,"Tangmere Way, London NW9",https://www.zoopla.co.uk/for-sale/details/60074589/,2021-10-29,"05:16PM on November 14, 2021",NW9,3.0
465000.0,2 bed property for sale,"Lyonsdown Road, New Barnet, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/60075650/,2021-10-29,"06:53PM on November 27, 2021",EN5,2.0
425000.0,2 bed terraced house for sale,"Cordingley Road, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/57030325/,2021-10-29,"05:30PM on November 28, 2021",HA4,2.0
400000.0,1 bed detached house for sale,"Fenstanton Avenue, North Finchley, London N12",https://www.zoopla.co.uk/for-sale/details/60064609/,2021-10-28,"06:53PM on November 27, 2021",N12,1.0
470000.0,3 bed end terrace house for sale,"Newmarket Avenue, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60058930/,2021-10-27,"05:30PM on November 28, 2021",UB5,3.0
375000.0,2 bed property for sale,"Breakspear Road North, Harefield, Uxbridge UB9",https://www.zoopla.co.uk/for-sale/details/60056479/,2021-10-27,"05:30PM on November 28, 2021",UB9,2.0
475000.0,3 bed terraced house for sale,"Grosvenor Crescent, Hillingdon UB10",https://www.zoopla.co.uk/for-sale/details/60048237/,2021-10-26,"05:37PM on November 27, 2021",UB10,3.0
400000.0,1 bed semi-detached house for sale,"Fenstanton Avenue, North Finchley N12",https://www.zoopla.co.uk/for-sale/details/52951439/,2021-10-26,"05:16PM on November 14, 2021",N12,1.0
475000.0,3 bed semi-detached house for sale,"Burnley Close, Watford, Watford, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60037982/,2021-10-25,"06:53PM on November 27, 2021",WD19,3.0
400000.0,3 bed terraced house for sale,"Garden City, Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/60044100/,2021-10-25,"05:41PM on November 26, 2021",HA8,3.0
475000.0,2 bed semi-detached house for sale,"Victoria Road, New Barnet, Barnet EN4",https://www.zoopla.co.uk/for-sale/details/60036561/,2021-10-25,"05:16PM on November 14, 2021",EN4,2.0
395000.0,2 bed terraced house for sale,"Attlee Road, Hayes UB4",https://www.zoopla.co.uk/for-sale/details/60044182/,2021-10-25,"05:36PM on November 14, 2021",UB4,2.0
425000.0,3 bed terraced house for sale,"Garden City, Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/60044100/,2021-10-25,"05:16PM on November 14, 2021",HA8,3.0
375000.0,2 bed semi-detached house for sale,"Burnley Close, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60025819/,2021-10-22,"05:36PM on November 14, 2021",WD19,2.0
300000.0,2 bed terraced house for sale,"Turnberry Court, South Oxhey, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60022851/,2021-10-21,"05:36PM on November 14, 2021",WD19,2.0
300000.0,1 bed block of flats for sale,"Colindale, London NW9",https://www.zoopla.co.uk/for-sale/details/60018302/,2021-10-21,"05:30PM on November 28, 2021",NW9,1.0
470000.0,3 bed end terrace house for sale,"Blenheim Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60007687/,2021-10-20,"05:30PM on November 28, 2021",UB5,3.0
325000.0,1 bed detached house for sale,"Tayfield Close, Ickenham, Uxbridge UB10",https://www.zoopla.co.uk/for-sale/details/60006796/,2021-10-20,"05:30PM on November 28, 2021",UB10,1.0
445000.0,3 bed semi-detached house for sale,"Ash Grove, Harefield, Middlesex UB9",https://www.zoopla.co.uk/for-sale/details/59992470/,2021-10-18,"05:36PM on November 14, 2021",UB9,3.0
400000.0,2 bed terraced house for sale,"The Point, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/59986607/,2021-10-18,"05:24PM on November 26, 2021",HA4,2.0
390000.0,2 bed terraced house for sale,"Rabournmead Drive, Northolt, Middlesex UB5",https://www.zoopla.co.uk/for-sale/details/60021896/,2021-10-18,"05:25PM on November 26, 2021",UB5,2.0
440000.0,3 bed terraced house for sale,"Grosvenor Crescent, Hillingdon UB10",https://www.zoopla.co.uk/for-sale/details/59959624/,2021-10-14,"05:36PM on November 14, 2021",UB10,3.0
475000.0,3 bed semi-detached house for sale,"Little Oxhey Lane, Watford, Hertfordshire WD19",https://www.zoopla.co.uk/for-sale/details/60210167/,2021-10-14,"05:30PM on November 28, 2021",WD19,3.0
475000.0,3 bed semi-detached house for sale,"Little Oxhey Lane, Watford, Hertfordshire WD19",https://www.zoopla.co.uk/for-sale/details/59964644/,2021-10-14,"05:36PM on November 14, 2021",WD19,3.0
470000.0,2 bed semi-detached house for sale,"Appletree Gardens, New Barnet EN4",https://www.zoopla.co.uk/for-sale/details/58963757/,2021-10-13,"05:16PM on November 14, 2021",EN4,2.0
465000.0,2 bed semi-detached house for sale,"Appletree Gardens, New Barnet EN4",https://www.zoopla.co.uk/for-sale/details/58963757/,2021-10-13,"05:37PM on November 27, 2021",EN4,2.0
295000.0,2 bed property for sale,"Masons Avenue, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/59937138/,2021-10-12,"05:37PM on November 27, 2021",HA3,2.0
385000.0,2 bed semi-detached house for sale,"Church Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59932760/,2021-10-11,"05:37PM on November 27, 2021",UB5,2.0
475000.0,3 bed terraced house for sale,"Gonville Crescent, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59930143/,2021-10-11,"06:53PM on November 27, 2021",UB5,3.0
